cohort,instance,workflow_family,task_scale,cluster,scenario,deadline_factor,mode,variant,cost,algorithm_time_ms,valid,process_wall_seconds
primary,setting1_atacseq1000_72_286_29_1_1,atacseq,atacseq1000,small,1,2.0,with_ls,slackR-LS,0,399.0,True,4.243174
primary,setting1_atacseq1000_72_286_29_1_1,atacseq,atacseq1000,small,1,2.0,with_ls,slackW-LS,0,325.0,True,4.243174
primary,setting1_atacseq1000_72_286_29_1_1,atacseq,atacseq1000,small,1,2.0,with_ls,slackWR-LS,0,391.0,True,4.243174
primary,setting1_atacseq1000_72_286_29_1_1,atacseq,atacseq1000,small,1,2.0,without_ls,press,0,316.0,True,4.07782
primary,setting1_atacseq1000_72_286_29_1_1,atacseq,atacseq1000,small,1,2.0,without_ls,pressR,0,385.0,True,4.07782
primary,setting1_atacseq1000_72_286_29_1_1,atacseq,atacseq1000,small,1,2.0,without_ls,pressW,0,309.0,True,4.07782
primary,setting1_atacseq1000_72_286_29_1_1,atacseq,atacseq1000,small,1,2.0,without_ls,pressWR,0,370.0,True,4.07782
primary,setting1_atacseq1000_72_286_29_1_1,atacseq,atacseq1000,small,1,2.0,without_ls,slack,0,310.0,True,4.07782
primary,setting1_atacseq1000_72_286_29_1_1,atacseq,atacseq1000,small,1,2.0,without_ls,slackR,0,379.0,True,4.07782
primary,setting1_atacseq1000_72_286_29_1_1,atacseq,atacseq1000,small,1,2.0,without_ls,slackW,0,304.0,True,4.07782
primary,setting1_atacseq1000_72_286_29_1_1,atacseq,atacseq1000,small,1,2.0,without_ls,slackWR,0,369.0,True,4.07782
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,baseline,baseline,4935,5.0,True,0.177718
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,with_ls,press-LS,0,385.0,True,4.78475
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,with_ls,pressR-LS,0,503.0,True,4.78475
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,with_ls,pressW-LS,0,374.0,True,4.78475
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,with_ls,pressWR-LS,0,486.0,True,4.78475
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,with_ls,slack-LS,0,380.0,True,4.78475
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,with_ls,slackR-LS,0,490.0,True,4.78475
primary,setting1_atacseq1000_72_429_43_1_1,atacseq,atacseq1000,small,1,3.0,with_ls,slackW-LS,0,372.0,True,4.78475
